SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
36.7 63.3 59.0751 0.286978 0.286978 
36.8 63.2 58.9801 0.290959 0.290959 
36.9 63.1 58.8868 0.296669 0.296669 
37 63 58.7935 0.30238 0.30238 
37.1 62.9 58.7002 0.308091 0.308091 
37.2 62.8 58.6069 0.313802 0.313802 
37.3 62.7 58.5136 0.319513 0.319513 
37.4 62.6 58.4203 0.325224 0.325224 
37.5 62.5 58.327 0.330935 0.330935 
37.6 62.4 58.2337 0.336646 0.336646 
37.7 62.3 58.1404 0.342356 0.342356 
37.8 62.2 58.0471 0.348067 0.348067 
37.9 62.1 57.9538 0.353778 0.353778 
38 62 57.8605 0.359489 0.359489 
38.1 61.9 57.7672 0.3652 0.3652 
38.2 61.8 57.6739 0.370911 0.370911 
38.3 61.7 57.5807 0.376622 0.376622 
38.4 61.6 57.4874 0.382333 0.382333 
38.5 61.5 57.3941 0.388043 0.388043 
38.6 61.4 57.3008 0.393754 0.393754 
38.7 61.3 57.2075 0.399465 0.399465 
38.8 61.2 57.1142 0.405176 0.405176 
38.9 61.1 57.0209 0.410887 0.410887 
39 61 56.9276 0.416598 0.416598 
39.1 60.9 56.8343 0.422309 0.422309 
39.2 60.8 56.741 0.42802 0.42802 
39.3 60.7 56.6477 0.43373 0.43373 
39.4 60.6 56.5544 0.439441 0.439441 
39.5 60.5 56.4611 0.445152 0.445152 
39.6 60.4 56.3678 0.450863 0.450863 
39.7 60.3 56.2745 0.456574 0.456574 
39.8 60.2 56.1812 0.462285 0.462285 
39.9 60.1 56.0879 0.467996 0.467996 
40 60 55.9947 0.473707 0.473707 
40.1 59.9 55.9014 0.479417 0.479417 
40.2 59.8 55.8081 0.485128 0.485128 
40.3 59.7 55.7148 0.490839 0.490839 
40.4 59.6 55.6215 0.49655 0.49655 
40.5 59.5 55.5282 0.502261 0.502261 
40.6 59.4 55.4349 0.507972 0.507972 
40.7 59.3 55.3428 0.514842 0.514842 
40.8 59.2 55.2522 0.523248 0.523248 
40.9 59.1 55.1616 0.531654 0.531654 
41 59 55.071 0.54006 0.54006 
41.1 58.9 54.9804 0.548466 0.548466 
41.2 58.8 54.8898 0.556871 0.556871 
41.3 58.7 54.7992 0.565277 0.565277 
41.4 58.6 54.7086 0.573683 0.573683 
41.5 58.5 54.618 0.582089 0.582089 
41.6 58.4 54.5274 0.590495 0.590495 
41.7 58.3 54.4368 0.598901 0.598901 
41.8 58.2 54.3462 0.607306 0.607306 
41.9 58.1 54.2556 0.615712 0.615712 
42 58 54.165 0.624118 0.624118 
42.1 57.9 54.0744 0.632524 0.632524 
42.2 57.8 53.9838 0.64093 0.64093 
42.3 57.7 53.8932 0.649335 0.649335 
42.4 57.6 53.8026 0.657741 0.657741 
42.5 57.5 53.712 0.666147 0.666147 
42.6 57.4 53.6214 0.674553 0.674553 
42.7 57.3 53.5308 0.682959 0.682959 
42.8 57.2 53.4402 0.691364 0.691364 
42.9 57.1 53.3496 0.69977 0.69977 
43 57 53.259 0.708176 0.708176 
43.1 56.9 53.1684 0.716582 0.716582 
43.2 56.8 53.0778 0.724988 0.724988 
43.3 56.7 52.9872 0.733393 0.733393 
43.4 56.6 52.8966 0.741799 0.741799 
43.5 56.5 52.806 0.750205 0.750205 
43.6 56.4 52.7154 0.758611 0.758611 
43.7 56.3 52.6248 0.767017 0.767017 
43.8 56.2 52.5342 0.775423 0.775423 
43.9 56.1 52.4436 0.783828 0.783828 
44 56 52.353 0.792234 0.792234 
44.1 55.9 52.2624 0.80064 0.80064 
44.2 55.8 52.1718 0.809046 0.809046 
44.3 55.7 52.0812 0.817452 0.817452 
44.4 55.6 51.9906 0.825857 0.825857 
44.5 55.5 51.9 0.834263 0.834263 
44.6 55.4 51.8094 0.842669 0.842669 
44.7 55.3 51.7188 0.851075 0.851075 
44.8 55.2 51.6282 0.859481 0.859481 
44.9 55.1 51.5376 0.867886 0.867886 
45 55 51.4494 0.87867 0.87867 
45.1 54.9 51.3623 0.89062 0.89062 
45.2 54.8 51.2753 0.90257 0.90257 
45.3 54.7 51.1882 0.91452 0.91452 
45.4 54.6 51.1011 0.926469 0.926469 
45.5 54.5 51.0141 0.938419 0.938419 
45.6 54.4 50.927 0.950369 0.950369 
45.7 54.3 50.84 0.962319 0.962319 
45.8 54.2 50.7529 0.974268 0.974268 
45.9 54.1 50.6659 0.986218 0.986218 
46 54 50.5788 0.998168 0.998168 
46.1 53.9 50.4918 1.01012 1.01012 
46.2 53.8 50.4047 1.02207 1.02207 
46.3 53.7 50.3177 1.03402 1.03402 
46.4 53.6 50.2306 1.04597 1.04597 
46.5 53.5 50.1435 1.05792 1.05792 
46.6 53.4 50.0565 1.06987 1.06987 
46.7 53.3 49.9694 1.08182 1.08182 
